x;n = 10;n = 25;n = 50;n = 100
0,80052;2,12E-09;2,84E-17;2,84E-17;2,84E-17
0,79895;2,32E-09;2,90E-17;2,90E-17;2,90E-17
0,79738;2,53E-09;2,87E-17;2,87E-17;2,87E-17
0,79581;2,76E-09;3,05E-17;3,05E-17;3,05E-17
0,79424;3,01E-09;2,97E-17;2,97E-17;2,97E-17
0,79267;3,28E-09;3,31E-17;3,31E-17;3,31E-17
0,7911;3,57E-09;2,89E-17;2,89E-17;2,89E-17
0,78953;3,88E-09;3,02E-17;3,02E-17;3,02E-17
0,78796;4,22E-09;3,28E-17;3,28E-17;3,28E-17
0,78639;4,59E-09;3,07E-17;3,07E-17;3,07E-17
0,78482;4,98E-09;2,91E-17;2,91E-17;2,91E-17
0,78325;5,41E-09;2,80E-17;2,80E-17;2,80E-17
0,78168;5,87E-09;3,06E-17;3,06E-17;3,06E-17
0,78011;6,36E-09;3,10E-17;3,10E-17;3,10E-17
0,77854;6,89E-09;3,39E-17;3,39E-17;3,39E-17
0,77697;7,46E-09;5,79E-17;5,79E-17;5,79E-17
0,7754;8,08E-09;5,77E-17;5,77E-17;5,77E-17
0,77383;8,74E-09;5,51E-17;5,51E-17;5,51E-17
0,77226;9,45E-09;6,12E-17;6,12E-17;6,12E-17
0,77069;1,02E-08;6,58E-17;6,58E-17;6,58E-17
0,76912;1,10E-08;5,60E-17;5,60E-17;5,60E-17
0,76755;1,19E-08;6,36E-17;6,36E-17;6,36E-17
0,76598;1,29E-08;6,21E-17;6,21E-17;6,21E-17
0,76441;1,39E-08;6,55E-17;6,55E-17;6,55E-17
0,76284;1,49E-08;5,77E-17;5,77E-17;5,77E-17
0,76127;1,61E-08;6,10E-17;6,10E-17;6,10E-17
0,7597;1,73E-08;6,24E-17;6,24E-17;6,24E-17
0,75813;1,87E-08;6,19E-17;6,19E-17;6,19E-17
0,75656;2,01E-08;6,68E-17;6,68E-17;6,68E-17
0,75499;2,16E-08;6,67E-17;6,67E-17;6,67E-17
0,75342;2,32E-08;6,14E-17;6,14E-17;6,14E-17
0,75185;2,50E-08;6,12E-17;6,12E-17;6,12E-17
0,75028;2,68E-08;6,34E-17;6,34E-17;6,34E-17
0,74871;2,88E-08;6,08E-17;6,08E-17;6,08E-17
0,74714;3,09E-08;6,00E-17;6,00E-17;6,00E-17
0,74557;3,31E-08;6,02E-17;6,02E-17;6,02E-17
0,744;3,55E-08;6,52E-17;6,52E-17;6,52E-17
0,74243;3,81E-08;6,91E-17;6,91E-17;6,91E-17
0,74086;4,08E-08;6,68E-17;6,68E-17;6,68E-17
0,73929;4,37E-08;6,00E-17;6,00E-17;6,00E-17
0,73772;4,68E-08;6,57E-17;6,13E-17;6,13E-17
0,73615;5,01E-08;7,16E-17;6,11E-17;6,11E-17
0,73458;5,36E-08;6,91E-17;6,44E-17;6,44E-17
0,73301;5,73E-08;8,05E-17;5,85E-17;5,85E-17
0,73144;6,12E-08;8,33E-17;6,16E-17;6,16E-17
0,72987;6,54E-08;9,71E-17;6,54E-17;6,54E-17
0,7283;6,98E-08;1,00E-16;6,78E-17;6,78E-17
0,72673;7,46E-08;1,14E-16;7,31E-17;7,31E-17
